Single Domain Error(us),10 domains (10 hops each) Error(us),100_converted(us)
0.654,1.807,-0.621
-0.543,0.36,-1.444
-1.838,-1.026,0.658
2.878,-0.015,1.102
0.462,0.052,1.287
1.354,-0.357,-0.208
-1.398,-1.215,-0.43
0.36,0.183,-0.515
0.353,-1.968,-0.511
-2.429,-0.698,-0.251
2.206,0.848,0.668
-2.106,-0.816,-1.081
-1.412,-0.969,1.438
-1.299,0.687,0.49
0.242,-0.83,0.554
1.123,0.353,0.865
0.852,1.656,-1.563
0.037,-2.825,-0.404
-0.025,2.547,0.335
-0.84,2.27,1.4
1.807,2.931,-1.943
-1.58,-0.042,2.052
2.002,-0.961,-0.735
0.074,-0.08,0.843
-0.338,-0.972,1.224
0.749,1.776,-0.888
1.541,-1.264,0.665
0.183,-0.323,-1.354
-0.171,-1.069,-1.035
0.345,-2.096,-1.713
0.192,0.532,-0.903
-1.354,-0.564,-0.674
1.4,-0.46,-1.804
-2.056,-0.588,-0.912
-0.62,-0.728,-1.012
-2.478,-0.046,1.117
-0.926,-2.855,0.85
0.931,0.681,1.238
1.908,-0.613,-1.463
-1.901,1.582,1.896
1.601,-2.014,0.042
-0.22,1.34,1.526
1.31,-0.147,-1.246
